"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1422","Позитивный сценарий заказа самоката","tests","2026-07-07","passed","2026-07-07","TestOrder","test_order","",""
"","1399","Позитивный сценарий заказа самоката","tests","2026-07-07","passed","2026-07-07","TestOrder","test_order","",""
"","175","Проверка ответов","tests","2026-07-07","passed","2026-07-07","TestQuestions","test_questions","",""
"","77","Проверка ответов","tests","2026-07-07","passed","2026-07-07","TestQuestions","test_questions","",""
"","1096","Клик на логотип ""Яндекс""","tests","2026-07-07","passed","2026-07-07","TestLogo","test_logo","",""
"","76","Проверка ответов","tests","2026-07-07","passed","2026-07-07","TestQuestions","test_questions","",""
"","122","Проверка ответов","tests","2026-07-07","passed","2026-07-07","TestQuestions","test_questions","",""
"","2167","test_question_text[0-\u0421\u0443\u0442\u043a\u0438 \u2014 400 \u0440\u0443\u0431\u043b\u0435\u0439. \u041e\u043f\u043b\u0430\u0442\u0430 \u043a\u0443\u0440\u044c\u0435\u0440\u0443 \u043d\u0430\u043b\u0438\u0447\u043d\u044b\u043c\u0438 \u0438\u043b\u0438 \u043a\u0430\u0440\u0442\u043e\u0439.]","tests","2026-07-04","failed","2026-07-04","TestQuestions","test_questions","",""
"","79","Проверка ответов","tests","2026-07-07","passed","2026-07-07","TestQuestions","test_questions","",""
"","77","Проверка ответов","tests","2026-07-07","passed","2026-07-07","TestQuestions","test_questions","",""
"","73","Проверка ответов","tests","2026-07-07","passed","2026-07-07","TestQuestions","test_questions","",""
"","79","Проверка ответов","tests","2026-07-07","passed","2026-07-07","TestQuestions","test_questions","",""
"","1712","test_question_text[5-\u0421\u0430\u043c\u043e\u043a\u0430\u0442 \u043f\u0440\u0438\u0435\u0437\u0436\u0430\u0435\u0442 \u043a \u0432\u0430\u043c \u0441 \u043f\u043e\u043b\u043d\u043e\u0439 \u0437\u0430\u0440\u044f\u0434\u043a\u043e\u0439. \u042d\u0442\u043e\u0433\u043e \u0445\u0432\u0430\u0442\u0430\u0435\u0442 \u043d\u0430 \u0432\u043e\u0441\u0435\u043c\u044c \u0441\u0443\u0442\u043e\u043a \u2014 \u0434\u0430\u0436\u0435 \u0435\u0441\u043b\u0438 \u0431\u0443\u0434\u0435\u0442\u0435 \u043a\u0430\u0442\u0430\u0442\u044c\u0441\u044f \u0431\u0435\u0437 \u043f\u0435\u0440\u0435\u0434\u044b\u0448\u0435\u043a \u0438 \u0431\u0435\u0437 \u0441\u043d\u0430. \u0417\u0430\u0440\u044f\u0434\u043a\u0430 \u043d\u0435 \u043f\u043e\u043d\u0430\u0434\u043e\u0431\u0438\u0442\u0441\u044f.]","tests","2026-07-04","failed","2026-07-04","TestQuestions","test_questions","",""
"","73","Переход на главную по логотипу ""Самокат""","tests","2026-07-07","passed","2026-07-07","TestLogo","test_logo","",""
"","17635","test_order_successful[order_data0-top]","tests","2026-07-04","broken","2026-07-04","TestOrder","test_order","",""
"","17708","test_order_successful[order_data1-bottom]","tests","2026-07-04","broken","2026-07-04","TestOrder","test_order","",""
